sentiment,text
negative,"Crappy knockoff. Didn't work for my vehicle,  vendor offered 30% discount in lieu of return to China but never received."
positive,"Does as it is advertised.  For best results, let it set over night before using your leather item."
positive,"Perfect fit, sealed well."
negative,"The light is white, but the light output is horrible. At best it lights just about 10-15 yards in front of you and it’s quite dim."
positive,"I have bought shades for my automobiles in the past but never have spent the money on a fitted shade. That is one design specifically for my automobile. With the recent purchase of my new car, I made the investment and so glad I did. It fits  like the proverbial glove"
negative,It fit in  my ram 3500 2012. But the hole for one of the sensors was off. I had to ream out my plastic housing on the sensor (not cool) and it’s still got a little gap on the connection. 30 min drive no engine lights on. So fingers crossed. This pipe is HOT! Now I’m looking into a heat shield or even some heat tape. Do not ruin your engine thinking this is all you need. I am keeping it because I don’t want to pay four hundred bucks for what I just took off of there though.
positive,"It's perfect it's exactly as it looks, extremely strong, very durable and exactly as it is advertised. You can't go wrong with these"
positive,I got this for my daughter's laptop and she couldn't be happier with it. It's nice it's big and it's just a really well-made.
negative,"Bought this to use on a 2006 Dodge 3rd generation Cummin's.  The puller bolt holes line up just fine with the CP3 drive gear...however the puller bottoms out on the timing cover before it pushes on the pump shaft.  This is worthless as it sits.  I did modify it by drilling and tapping a 3/8 hole to use a bolt to push out the pump shaft.  I managed to get the puller to work as modified to complete my job,  however I cannot recommend this puller as it is."
positive,needed to protect wiring harness fro excess heat from header pipes and cylinder head
positive,Fits perfectly.  Really blocks out the sun and heat well.
positive,It worked n I'm bought! I'm very  glad to  have found this product.
positive,"I've been bleeding the brake fluid in our Lexus/Toyota every 2 years as recommended in the manual.  Bleeding brake lines is a painful and time consuming job.  It usually takes me 2 1/2 hours (and get someone to step on the brake for me.)  This testing tool helps me realize that my brake fluid is still in pristine condition and does not need to be changed.<br /><br />To make sure that this tool is functioning, I added a little water to a bottle of brake fluid on purpose and shook it.  The tester detected the moisture."
positive,Great
positive,Direct replacement for our 2022 CRV Hybrid. Easy to install. No issues.
positive,Great product
positive,I just installed these.  Install was easy.  They look pretty good.  There are some gaps but to be expected.  They can't fit every car perfectly.  I have a 2019 Chevy Volt.  If you look at the photos you can see how the headrest cover straps go around the back of the headrest and how the base is attached by pulling the clips through the gap between the seat bottom and the seatback.  The front is attached by two hooks that need to be attached to something under the seat.  There are some defects that I doubt will come out as they are very deep divots made by the clips during shipping.  My only real concern is how they will handle the heated seats and whether they will deteriorate and put residue on the seats.  Time will tell.
positive,Replaced the valve on my portable tank.  This bolted right up and is working perfectly
positive,So much suction so great
positive,The fit is perfect
positive,"Only one strut on our 2014 Forester failed but I replaced them both, using an old mop handle to hold up the manual hatch during installation. It took about 25 minutes for the set and after a few months, they're still working great. They were shipped separately and arrived several days apart."
positive,"Works great. Wish I didn't have to butt splice any wires for an OEM part, but works flawlessly."
